id,make,model,year,color
1,Bentley,Continental Flying Spur,2010,Turquoise
2,Chevrolet,Suburban 2500,1997,Green
3,Infiniti,G25,2011,Puce
4,Nissan,Leaf,2011,Puce
5,Ford,Mustang,2002,Mauv
6,Alfa Romeo,Spider,1994,Indigo
7,Chevrolet,Malibu,2013,Mauv
8,Chevrolet,Equinox,2011,Turquoise
9,Oldsmobile,Silhouette,1997,Fuscia
10,Mazda,Mazda6,2006,Mauv
11,Dodge,Ram 2500,1996,Violet
12,GMC,2500 Club Coupe,1996,Goldenrod
13,GMC,Savana 3500,2005,Yellow
14,Mercury,Topaz,1989,Maroon
15,GMC,Sierra 2500,2000,Goldenrod
16,BMW,Z4,2010,Purple
17,Mercedes-Benz,S-Class,2004,Indigo
18,Chevrolet,Silverado 3500,2010,Puce
19,Chevrolet,Corvette,1969,Aquamarine
20,Hyundai,Genesis Coupe,2011,Indigo
21,Lincoln,MKX,2009,Goldenrod
22,Mitsubishi,Chariot,1995,Pink
23,Mitsubishi,Mighty Max,1994,Khaki
24,Subaru,Legacy,1993,Mauv
25,Chevrolet,HHR,2011,Maroon
26,Plymouth,Voyager,1992,Orange
27,Volkswagen,Jetta,1993,Fuscia
28,Toyota,Highlander,2011,Orange
29,Oldsmobile,Ciera,1994,Crimson
30,Chevrolet,Corvette,1972,Aquamarine
31,Scion,xD,2012,Yellow
32,BMW,545,2005,Pink
33,Oldsmobile,Silhouette,2001,Blue
34,Pontiac,LeMans,1992,Indigo
35,Subaru,Legacy,2004,Orange
36,Honda,del Sol,1996,Blue
37,Ford,F-Series,2011,Green
38,Infiniti,G25,2011,Khaki
39,Ford,Probe,1997,Pink
40,Lincoln,Navigator L,2011,Pink
41,Pontiac,6000,1990,Green
42,Mitsubishi,Mighty Max,1996,Purple
43,Nissan,350Z,2007,Turquoise
44,Cadillac,SRX,2007,Yellow
45,Dodge,Viper,1999,Pink
46,BMW,530,2001,Khaki
47,Toyota,4Runner,1993,Puce
48,Kia,Amanti,2004,Red
49,Mitsubishi,Precis,1994,Goldenrod
50,Suzuki,Aerio,2004,Purple
51,Chevrolet,Suburban 2500,2003,Purple
52,Ford,Thunderbird,1967,Violet
53,Nissan,Rogue,2011,Pink
54,Mazda,626,1983,Maroon
55,GMC,Sonoma,2001,Fuscia
56,Pontiac,Trans Sport,1993,Crimson
57,Mazda,MX-5,2004,Maroon
58,Oldsmobile,Bravada,1999,Purple
59,Land Rover,Discovery,1996,Khaki
60,Volkswagen,Cabriolet,1999,Purple
61,Dodge,Durango,2000,Crimson
62,Ford,Thunderbird,1988,Blue
63,Nissan,350Z,2007,Teal
64,GMC,Envoy XL,2006,Crimson
65,Oldsmobile,Bravada,1994,Orange
66,Volvo,S60,2005,Turquoise
67,Mazda,Protege,1993,Khaki
68,Plymouth,Acclaim,1994,Yellow
69,Nissan,Quest,1995,Khaki
70,Lincoln,Navigator L,2010,Yellow
71,Toyota,Celica,1983,Violet
72,Ford,Tempo,1986,Khaki
73,Subaru,Loyale,1991,Teal
74,Ford,Focus,2000,Teal
75,Dodge,Ram 1500 Club,2001,Fuscia
76,Mitsubishi,Diamante,2002,Violet
77,Chevrolet,Suburban 1500,2001,Indigo
78,GMC,Yukon,2004,Indigo
79,Ford,Tempo,1990,Fuscia
80,Ford,Contour,1998,Turquoise
81,Saab,9000,1986,Crimson
82,Volkswagen,Passat,1985,Red
83,Mercedes-Benz,E-Class,1989,Turquoise
84,Hyundai,Accent,1998,Aquamarine
85,Acura,NSX,2001,Aquamarine
86,Toyota,Highlander,2008,Puce
87,Jaguar,XJ,2010,Orange
88,Mitsubishi,Diamante,1999,Teal
89,Pontiac,Daewoo Kalos,2006,Goldenrod
90,Nissan,240SX,1992,Turquoise
91,Lexus,SC,2003,Yellow
92,Plymouth,Grand Voyager,1992,Violet
93,Mitsubishi,Precis,1993,Turquoise
94,Suzuki,Vitara,2000,Yellow
95,Ford,F-Series,1995,Green
96,Toyota,Xtra,1992,Yellow
97,Infiniti,EX,2010,Mauv
98,Dodge,Dakota Club,2001,Maroon
99,Mazda,Mazdaspeed 3,2010,Mauv
100,Dodge,Nitro,2011,Blue
101,Mercury,Cougar,1988,Orange
102,Lexus,ES,2006,Aquamarine
103,Mercedes-Benz,GLK-Class,2011,Goldenrod
104,Cadillac,Escalade ESV,2009,Blue
105,Plymouth,Prowler,1997,Aquamarine
106,Hyundai,Elantra,2001,Blue
107,Ford,Econoline E250,1996,Blue
108,Mazda,MPV,1993,Red
109,Lexus,ES,1990,Purple
110,BMW,X3,2012,Khaki
111,Maserati,Spyder,1990,Puce
112,Subaru,Outback,2002,Purple
113,Chevrolet,Silverado 2500,2005,Violet
114,Mazda,MPV,1996,Violet
115,Buick,LeSabre,1996,Teal
116,Maserati,Quattroporte,2007,Teal
117,Chevrolet,Aveo,2009,Teal
118,Buick,Skylark,1994,Aquamarine
119,Honda,Civic,2001,Orange
120,Chevrolet,Express 1500,2011,Blue
121,Volvo,C70,1998,Indigo
122,Subaru,Forester,2000,Aquamarine
123,Aston Martin,DB9,2012,Teal
